Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Rarefied Sykon	1	Elpis	(x25,y5)	87	600 Min Collectability
4:00 AM	Ebony Log	6	Middle La Noscea	(x23.2,y26.3)	★★★
5:00 AM	Trillium	1	East Shroud	(x17,y19)	★
5:00 AM	Honey Lemon	2	Eastern La Noscea	(x26,y32)	★
5:00 AM	Honey Lemon Seeds	1	Eastern La Noscea	(x26,y32)	★
5:00 AM	Lightning Cluster	2	Mor Dhona	(x32,y11)	Unaspected Crystal Slot 1
5:00 AM	Fire Cluster	3	Mor Dhona	(x32,y11)
5:00 AM	Wind Cluster	4	Mor Dhona	(x32,y11)
5:00 AM	Water Cluster	5	Mor Dhona	(x32,y11)
5:00 AM	Ice Cluster	6	Mor Dhona	(x32,y11)
5:00 AM	Earth Cluster	7	Mor Dhona	(x32,y11)	Dark Matter Cluster Slot 8
6:00 AM	Young Cieldalaes Spinach	6	Lower La Noscea	(x32,y11)	Mazlaya Greens Slot 1	★★
6:00 AM	Redolent Log	6	Central Shroud	(x30,y19)	★★
7:00 AM	Blood Orange	2	Upper La Noscea	(x28,y25)	★★
7:00 AM	Bamboo Stick	6	Upper La Noscea	(x28,y25)	★★
8:00 AM	La Noscean Leek	6	Western La Noscea	(x34,y28)	★★
8:00 AM	Mazlaya Greens	2	Western La Noscea	(x34,y28)	★
8:00 AM	Waterfowl Feather (Rare)	1,5	Western La Noscea	(x34,y28)	★★
9:00 AM	Apricot	2	Middle La Noscea	(x19,y16)	★★
9:00 AM	Spruce Log	6	Coerthas Central Highlands	(x27,y12)	★
9:00 AM	Prickly Pineapple Seeds	1	Eastern La Noscea	(x30,y26)	★
9:00 AM	Prickly Pineapple	4	Eastern La Noscea	(x30,y26)	★
9:00 AM	Lightning Cluster	2	Mor Dhona	(x32,y11)	Unaspected Crystal Slot 1
9:00 AM	Fire Cluster	3	Mor Dhona	(x32,y11)
9:00 AM	Wind Cluster	4	Mor Dhona	(x32,y11)
9:00 AM	Water Cluster	5	Mor Dhona	(x32,y11)
9:00 AM	Ice Cluster	6	Mor Dhona	(x32,y11)
9:00 AM	Earth Cluster	7	Mor Dhona	(x32,y11)	Dark Matter Cluster Slot 8
10:00 AM	Cypress Log	6	Central Shroud	(x25,y29)	★★★
1:00 PM	Vampire Plant	8	Coerthas Central Highlands	(x27,y24)	Dark Matter Cluster Slot 5	★
1:00 PM	Black Truffle	7	Eastern Thanalan	(x12,y16)	★
1:00 PM	Mazlaya Greens (Rare)	2	Eastern Thanalan	(x12,y16)	★
1:00 PM	Dzemael Tomato	3	Eastern La Noscea	(x18,y26)	★
1:00 PM	Dzemael Tomato Seeds (Rare)	1	Eastern La Noscea	(x18,y26)	★
5:00 PM	Thavnairian Mistletoe	2	Coerthas Central Highlands	(x8,y13)	Dark Matter Cluster, Unaspected Crystal	★
5:00 PM	Rosemary	1	East Shroud	(x22,y30)	★★★ (450)
9:00 PM	Kidragora	7	East Shroud	(x13,y23)	★
9:00 PM	Trillium Bulb	8	East Shroud	(x13,y23)	★
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00AM/PM	Rarefied Sharlayan Rock Salt	1	Labyrinthos	(x32,y21)	81	600 Min. Collectability
12:00AM/PM	Rarefied Raw Ametrine	8	Labyrinthos	(x32,y21)	81	600 Min. Collectability
2:00AM/PM	Rarefied Eblan Alumen	3	Garlemald	(x12,y21)	84	600 Min. Collectability
2:00AM/PM	Rarefied Phrygian Gold Ore	2	Garlemald	(x12,y21)	83	600 Min. Collectability
4:00AM/PM	Rarefied Pewter Ore	6	Thavnair	(x32,y25)	90	★	600 Min. Collectability
6:00AM/PM	Rarefied Bismuth Ore	6	Mare Lamentorum	(x16,y32)	83	600 Min. Collectability
10:00AM/PM	Rarefied Annite	2	Elpis	(x8,y36)	90	★	600 Min. Collectability
10:00AM/PM	Rarefied Blue Zircon	7	Elpis	(x8,y36)	89	600 Min. Collectability
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00AM/PM	Raw Triplite	7	Amh Araeng	(x20,y29)	76	Perception 1421
12:00AM/PM	Raw Onyx	7	The Tempest	(x16,y21)	80	Perception 1562
2:00AM/PM	Rarefied Reef Rock	7	The Tempest	(x33,y21)	79	600 Min. Collectability
2:00AM/PM	Rarefied Tungsten Ore	7	The Tempest	(x33,y21)	80	★	600 Min. Collectability
2:00AM/PM	Raw Hematite	8	Kholusia	(x33,y23)	70	★★	Perception 1350
4:00AM/PM	Raw Lazurite	7	The Rak'tika Greatwood	(x19,y21)	74	Perception 1350
4:00AM/PM	Rarefied Raw Petalite	8	Lakeland	(x36,y24)	75	600 Min. Collectability
4:00AM/PM	Rarefied Titancopper Ore	6	Lakeland	(x36,y24)	71	600 Min. Collectability
6:00AM/PM	Rarefied Raw Lazurite	7	The Rak'tika Greatwood	(x16,y18)	73	600 Min. Collectability
6:00AM/PM	Raw Diaspore	6	Il Mheg	(x26,y13)	72	Perception 1312
6:00AM/PM	Raw Petalite	8	Lakeland	(x29,y33)	78	Perception 1491
8:00AM/PM	Rarefied Raw Onyx	7	The Tempest	(x25,y4)	80	600 Min. Collectability
8:00AM/PM	Rarefied Sea Salt	7	The Tempest	(x25,y4)	77	600 Min. Collectability
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Ala Mhigan Salt Crystal	1	The Lochs	(x21,y29)	69	Perception 677
12:00 AM/PM	Raw Star Spinel	8	The Ruby Sea	(x15,y5)	63	Perception 780
2:00 AM/PM	Raw Triphane	6	The Fringes	(x24,y8)	60	Perception 552
4:00 AM/PM	Raw Azurite	7	Azim Steppe	(x5,y29)	66	Perception 796
6:00 AM/PM	Raw Imperial Jade	6	Yanxia	(x29,y9)	68	Perception 829
6:00 AM/PM	Rarefied Raw Azurite	7	Azim Steppe	(x36,y26)	67	600 Min. Collectability
6:00 AM/PM	Rarefied Silvergrace Ore	6	Azim Steppe	(x36,y26)	69	600 Min. Collectability
8:00 AM/PM	Rarefied Raw Triphane	6	The Fringes	(x30,y13)	61	600 Min. Collectability
8:00 AM/PM	Rarefied Raw Kyanite	7	The Fringes	(x30,y13)	65	600 Min. Collectability
8:00 AM/PM	Pummelite	6	The Peaks	(x26,y12)	70	A Miner Success Perception 846
8:00 AM/PM	Raw Rhodonite	7	The Peaks	(x26,y12)	70	Perception 846
10:00 AM/PM	Rarefied Raw Star Spinel	8	The Ruby Sea	(x21,y34)	63	600 Min. Collectability
10:00 AM/PM	Rarefied Gyr Abanian Alumen	2	The Fringes	(x32,y31)	80	★	600 Min. Collectability
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Adamantite Ore	6	Azys Lla	(x24,y6)	60	Perception 408
2:00 AM/PM	Rarefied Abalathian Spring Water	1	The Sea of Clouds	(x21,y12)	57	600 Min. Collectability
2:00 AM/PM	Rarefied Aurum Regis Sand	2	The Sea of Clouds	(x21,y12)	59	600 Min. Collectability
4:00 AM/PM	Rarefied Chalcocite	2	The Dravanian Forelands	(x31,y32)	53	600 Min. Collectability
4:00 AM/PM	Rarefied Pyrite	3	The Dravanian Forelands	(x31,y32)	51	600 Min. Collectability
4:00 AM/PM	Rarefied Limonite	4	The Dravanian Forelands	(x31,y32)	55	600 Min. Collectability
10:00 AM/PM	Abalathian Rock Salt	1	The Sea of Clouds	(x8,y8)	56	Perception 353
10:00 AM/PM	Red Quartz	6	The Sea of Clouds	(x8,y8)	58	Perception 371
Time	Item	Slot #	Location	Coordinate	Extra	Star

1:00 AM	Darksteel Ore	3	Coerthas Central Highlands	(x27,y19)	Gregarious Worm Slot 1	★
1:00 AM	Pumice	1	Eastern La Noscea	(x17,y26)	★★★
2:00 AM	Antumbral Rock	7	Eastern Thanalan	(x26,y19)	★★
3:00 AM	Ferberite	6	Northern Thanalan	(x16,y19)	★★
3:00 AM	Raw Topaz	7	Northern Thanalan	(x16,y19)	★★
3:00 AM	Raw Iolite	8	Northern Thanalan	(x16,y19)	★★
4:00 AM	Native Gold	6	Central Thanalan	(x24,y16)	Gregarious Worm Slot 1	★★
4:00 AM	Raw Diamond	8	Central Thanalan	(x24,y16)	★★
4:00 AM	Raw Emerald	7	Central Thanalan	(x24,y16)	★★
4:00 AM	Platinum Ore	6	Southern Thanalan	(x19,y8)	Gregarious Worm Slot 1	★★★
5:00 AM	Water Cluster	5	Western Thanalan	(x18,y27)	Grade 3 Thanalan Topsoil Slot 8	★
5:00 AM	Gold Sand	2	Eastern Thanalan	(x25,y22)	Dark Matter Cluster Slot 4	★
6:00 AM	Umbral Rock	7	South Shroud	(x16,y31)	Grade 3 Shroud Topsoil Slot 8	★
9:00 AM	Gold Ore	6	Eastern Thanalan	(x28,y22)	Gregarious Worm Slot 1	★
9:00 AM	Coblyn Larva	7	Eastern Thanalan	(x28,y22)	★
1:00 PM	Lightning Cluster	2	Mor Dhona	(x28,y12)	Unaspected Crystal Slot 1
1:00 PM	Fire Cluster	3	Mor Dhona	(x28,y12)
1:00 PM	Wind Cluster	4	Mor Dhona	(x28,y12)
1:00 PM	Water Cluster	5	Mor Dhona	(x28,y12)
1:00 PM	Ice Cluster	6	Mor Dhona	(x28,y12)
1:00 PM	Earth Cluster	7	Mor Dhona	(x28,y12)	Dark Matter Cluster Slot 8
5:00 PM	Volcanic Rock Salt	1	Eastern La Noscea	(x21,y32)	★
5:00 PM	Lightning Cluster	2	Mor Dhona	(x27,y10)	Unaspected Crystal Slot 1
5:00 PM	Fire Cluster	3	Mor Dhona	(x27,y10)
5:00 PM	Wind Cluster	4	Mor Dhona	(x27,y10)
5:00 PM	Water Cluster	5	Mor Dhona	(x27,y10)
5:00 PM	Ice Cluster	6	Mor Dhona	(x27,y10)
5:00 PM	Earth Cluster	7	Mor Dhona	(x27,y10)	Dark Matter Cluster Slot 8
5:00 PM	Virgin Basilisk Egg	6	Northern Thanalan	(x24,y26)	Gregarious Worm Slot 1	★★★ (450)
6:00 PM	Raw Ruby	7	Lower La Noscea	(x23,y21)	Gregarious Worm Slot 1	★★
6:00 PM	Raw Sapphire	8	Lower La Noscea	(x23,y21)	★★
7:00 PM	Fire Cluster	3	Middle La Noscea	(x25,y27)	Grade 3 La Noscean Topsoil slot 8	★
9:00 PM	Astral Rock	7	Coerthas Central Highlands	(x23,y23)	Dark Matter Cluster Slot 1	★
9:00 PM	Lightning Cluster	2	Mor Dhona	(x27,y10)	Unaspected Crystal Slot 1
9:00 PM	Fire Cluster	3	Mor Dhona	(x27,y10)
9:00 PM	Wind Cluster	4	Mor Dhona	(x27,y10)
9:00 PM	Water Cluster	5	Mor Dhona	(x27,y10)
9:00 PM	Ice Cluster	6	Mor Dhona	(x27,y10)
9:00 PM	Earth Cluster	7	Mor Dhona	(x27,y10)	Dark Matter Cluster Slot 8
Gathering

Botanist	Miner	Fisher

Regular Nodes Unspoiled Nodes Ephemeral Nodes Folklore Nodes	Regular Nodes Unspoiled Nodes Ephemeral Nodes Folklore Nodes	Fishing Locations Big Fishing Fishing Collectables Folklore Fish

